Date,Gold,SP500,Euro,Oil,Silver,Quarter
2012-10-09,170.990005,127.109215,1.2885,34.18,61675,4
2014-05-15,124.769997,170.468948,1.3711,37.040001,41717,2
2013-03-06,153.229996,137.154327,1.2967,32.540001000000004,54968,1
2014-12-18,115.150002,189.882645,1.2286,20.74,36555,4
2018-08-01,115.139999,277.971069,1.166,14.09,37956,3
2013-12-05,118.300003,161.183075,1.3668,34.93,43146,4
2012-01-30,168.029999,114.091202,1.3127,38.009998,56992,1
2012-08-01,155.139999,120.638641,1.2226,33.169998,53172,3
2013-07-19,125.110001,151.643463,1.3142,38.450001,40332,3
2014-11-18,115.050003,188.753174,1.2537,28.200001,35804,4
2016-01-11,104.739998,181.045776,1.086,9.25,33664,1
2016-04-15,117.919998,196.822815,1.1283,10.25,38507,2
2017-12-06,120.07,257.019287,1.1796,11.2,37444,4
2014-08-11,125.959999,177.135208,1.3386,36.220001,43847,3
2018-11-13,113.699997,270.480499,1.1291,11.69,36385,4
2015-03-30,113.75,193.146057,1.0834,17.23,37466,1
2016-02-08,113.830002,174.741058,1.1198,8.64,37127,1
2017-04-27,120.389999,230.686157,1.0873,10.24,39670,2
2012-07-19,153.380005,120.761414,1.228,34.639999,52670,3
2012-07-03,157.46000700000005,120.480865,1.2607,32.939999,52512,3
2013-10-01,124.589996,152.535706,1.3526,36.68,47902,4
2015-10-13,111.860001,187.600876,1.1379,15.06,37272,4
2018-03-27,127.489998,256.76651,1.2403,13.08,38664,1
2012-04-30,161.880005,122.005577,1.3241,39.68,55318,2
2012-12-04,164.419998,124.508881,1.3094,32.400002,60671,4
2014-11-28,112.110001,190.268356,1.2452,25.58,34527,4
2012-08-20,157.259995,124.671921,1.2344,35.830002,54313,3
2013-06-25,123.470001,142.141663,1.3085,33.740002000000004,40663,2
2016-02-24,117.610001,182.072998,1.1013,8.59,37230,1
2014-08-08,126.190002,176.623322,1.3411,36.119999,43580,3
2014-01-08,118.120003,166.206268,1.3575,33.16,43869,1
2012-07-30,157.429993,121.594353,1.226,33.450001,53827,3
2017-03-13,114.739998,228.926453,1.0654,10.28,40418,1
2016-07-13,128.320007,204.645493,1.109,10.75,47830,3
2012-09-13,171.309998,128.52981599999998,1.2989,36.509998,65292,3
2018-06-28,118.220001,268.103638,1.1569,14.86,39117,2
2012-10-26,165.929993,124.597,1.2942,31.790001,59643,4
2013-10-09,126.110001,149.166809,1.3524,36.549999,49009,4
2018-12-11,117.540001,262.596527,1.1316,10.95,38331,4
2015-01-14,117.970001,185.464355,1.1789,18.27,37930,1
2013-10-14,122.830002,153.976929,1.3561,36.869999,47374,4
2016-06-30,126.470001,199.46553,1.1105,11.57,43467,2
2013-05-02,141.919998,142.445679,1.3064,33.490002000000004,44541,2
2018-11-08,115.779999,278.87149,1.1363,12.84,37613,4
2018-02-16,127.959999,268.01901200000003,1.2406,12.38,38665,1
2014-03-05,128.889999,170.03718600000005,1.3733,36.240002,46583,1
2018-06-11,123.230003,274.462311,1.1784,13.36,40791,2
2018-10-15,116.0,272.806915,1.1579,15.13,39153,4
2013-01-04,160.440002,129.937088,1.3069,33.880001,57537,1
2013-09-19,131.75,154.861542,1.3530000000000002,38.080002,51750,3
2015-07-21,105.370003,197.357208,1.0937,16.91,34022,3
2012-07-02,155.089996,119.691673,1.2586,31.43,52143,3
2016-02-11,119.059998,172.328537,1.1324,7.99,38288,1
2011-12-19,154.869995,104.468536,1.2995,36.200001,52961,4
2012-06-22,152.639999,117.01748700000002,1.257,30.1,52864,2
2012-07-12,152.589996,117.061317,1.2198,32.200001,53017,3
2014-03-28,124.559998,168.73152199999996,1.3753,36.619999,42759,1
2014-01-10,120.260002,166.767776,1.367,33.189999,44824,1
2014-09-02,121.650002,183.359558,1.3133,34.790001000000004,41617,3
2012-09-25,170.770004,127.021065,1.29,33.75,62314,3
2014-11-13,111.669998,187.504318,1.2477,28.290001,34707,4
2016-02-17,115.480003,181.771439,1.1128,8.78,37197,1
2013-01-25,160.649994,133.3815,1.3462,34.779999,58250,1
2014-10-10,117.589996,174.96975700000004,1.2628,32.18,38512,4
2015-05-01,113.080002,195.43692,1.1202,20.4,36540,2
2016-10-25,121.470001,204.961533,1.0888,11.24,42415,4
2016-05-06,123.18,194.87149,1.1405,10.96,41731,2
2013-09-09,133.910004,150.263,1.3255,38.939999,54117,3
2013-11-26,119.82,162.750381,1.3572,33.689999,44460,4
2012-03-27,163.240005,123.139542,1.3318,40.709999,57405,1
2015-09-25,109.809998,180.687057,1.1195,14.71,36072,3
2016-09-26,127.550003,205.028564,1.1254,10.43,46501,3
2015-12-14,101.790001,190.083466,1.0992,11.16,33487,4
2012-04-02,162.940002,123.723953,1.3323,40.029999,57595,2
2015-08-20,110.440002,190.134308,1.1242,13.37,36310,3
2011-12-30,151.990005,108.993294,1.2948,38.110001,51445,4
2014-12-10,117.959999,186.558502,1.2448,23.280001,38668,4
2018-10-01,112.57,290.036316,1.1578,15.95,38445,4
2018-09-20,114.269997,290.560242,1.1777,14.8,37259,3
2014-12-17,114.269997,185.30043,1.2343,21.34,36731,4
2018-06-04,122.370003,270.85614,1.1699,13.12,39576,2
2015-07-20,105.699997,198.158722,1.0827,16.690001000000002,34145,3
